Player,Nation,Position,Current age,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Jules Koundé,fr FRA,DF,26-173,12.3,1,0,0,7,8,0,23,7,10,0,0,0,49,13,10,56.5,Matches
Raphinha,br BRA,"FW,MF",28-141,12.2,0,0,0,5,13,7,57,8,10,0,0,0,27,1,6,14.3,Matches
Pedri,es ESP,MF,22-160,11.2,0,0,0,2,18,0,14,6,25,0,0,0,71,1,5,16.7,Matches
Lamine Yamal,es ESP,FW,17-295,10.8,0,0,0,10,17,2,27,4,11,1,0,0,40,1,0,100.0,Matches
Robert Lewandowski,pl POL,FW,36-256,10.5,0,0,0,12,22,2,3,2,3,1,0,0,23,17,25,40.5,Matches
Pau Cubarsí,es ESP,DF,18-102,9.7,2,1,0,11,5,0,0,9,4,0,1,0,30,19,19,50.0,Matches
Iñigo Martínez,es ESP,DF,33-352,9.8,2,0,0,7,7,0,3,3,7,0,0,0,32,14,13,51.9,Matches
Alejandro Balde,es ESP,DF,21-198,8.9,1,0,0,4,7,0,17,5,7,1,0,0,33,2,2,50.0,Matches
Frenkie de Jong,nl NED,MF,27-357,7.6,2,0,0,10,9,0,2,11,8,0,0,0,35,8,4,66.7,Matches
Marc Casado,es ESP,MF,21-232,7.0,1,0,0,11,10,0,2,3,21,0,0,0,30,3,8,27.3,Matches
Wojciech Szczęsny,pl POL,GK,35-016,7.0,0,0,0,2,3,0,0,0,0,0,2,0,21,1,0,100.0,Matches
Iñaki Peña,es ESP,GK,26-063,5.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,,Matches
Dani Olmo,es ESP,MF,26-362,3.9,0,0,0,4,6,0,5,0,4,0,0,0,24,2,1,66.7,Matches
Ronald Araújo,uy URU,DF,26-058,5.3,0,0,0,3,0,0,0,2,5,0,0,1,15,18,10,64.3,Matches
Fermin López,es ESP,"MF,FW",21-358,4.6,1,0,0,6,7,1,6,1,5,0,0,0,16,0,6,0.0,Matches
Gerard Martín,es ESP,DF,23-123,3.6,0,0,0,3,4,0,8,7,5,0,0,0,22,1,7,12.5,Matches
Gavi,es ESP,MF,20-272,3.2,1,0,0,5,4,0,2,0,7,0,0,0,11,6,8,42.9,Matches
Ferrán Torres,es ESP,FW,25-064,3.7,1,0,0,1,5,0,3,1,0,0,0,0,8,4,8,33.3,Matches
Eric García,es ESP,"DF,MF",24-115,2.0,0,1,0,5,2,0,1,3,2,0,0,0,6,1,3,25.0,Matches
Marc-André ter Stegen,de GER,GK,33-004,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,Matches
Ansu Fati,es ESP,"FW,MF",22-185,0.5,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,,Matches
Pau Victor Delgado,es ESP,FW,23-159,0.4,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,,Matches
Sergi Dominguez,es ESP,"DF,FW",20-033,0.4,0,0,0,1,0,0,0,1,1,0,0,0,3,2,0,100.0,Matches
Héctor Fort,es ESP,DF,18-275,0.3,0,0,0,2,0,0,2,1,1,0,0,0,2,0,0,,Matches
Pablo Torre,es ESP,"FW,MF",22-031,0.2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,,Matches
Andreas Christensen,dk DEN,DF,29-024,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
Andres Cuenca,es ESP,DF,17-327,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
