Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Jules Koundé,fr FRA,DF,26-173,12.3,937,52,258,485,200,27,937,17,6,35.3,10,58.8,473,1718,851,21,10,4,18,8,640,66,Matches
Raphinha,br BRA,"FW,MF",28-141,12.2,684,7,41,243,406,65,684,35,14,40.0,20,57.1,381,1976,1112,43,30,24,17,14,513,132,Matches
Pedri,es ESP,MF,22-160,11.2,921,21,120,557,255,11,921,23,15,65.2,5,21.7,528,2976,1341,26,26,3,14,12,676,32,Matches
Lamine Yamal,es ESP,FW,17-295,10.8,648,4,45,244,375,62,648,83,42,50.6,34,41.0,446,2988,1681,57,30,27,29,18,532,129,Matches
Robert Lewandowski,pl POL,FW,36-256,10.5,303,6,24,133,148,55,300,9,3,33.3,6,66.7,159,703,246,10,6,7,20,23,226,49,Matches
Pau Cubarsí,es ESP,DF,18-102,9.7,842,66,313,493,39,7,842,2,2,100.0,0,0.0,493,2265,1164,7,2,0,2,1,685,2,Matches
Iñigo Martínez,es ESP,DF,33-352,9.8,869,59,301,520,52,8,869,0,0,,0,,528,2567,1815,15,9,0,1,0,678,7,Matches
Alejandro Balde,es ESP,DF,21-198,8.9,567,20,148,234,193,14,567,48,21,43.8,19,39.6,307,1924,1123,28,22,5,6,11,388,63,Matches
Frenkie de Jong,nl NED,MF,27-357,7.6,648,14,94,433,122,6,648,3,1,33.3,2,66.7,385,2046,1032,9,24,0,10,5,509,13,Matches
Marc Casado,es ESP,MF,21-232,7.0,586,15,87,405,97,5,586,6,2,33.3,4,66.7,273,1163,480,6,4,0,7,2,443,11,Matches
Wojciech Szczęsny,pl POL,GK,35-016,7.0,314,256,314,0,0,0,314,0,0,,0,,190,797,390,0,0,0,0,0,169,0,Matches
Iñaki Peña,es ESP,GK,26-063,5.0,169,116,168,1,0,0,169,0,0,,0,,94,389,181,0,0,0,0,0,105,0,Matches
Dani Olmo,es ESP,MF,26-362,3.9,229,2,15,114,104,15,229,13,9,69.2,3,23.1,118,573,374,9,8,1,8,3,166,27,Matches
Ronald Araújo,uy URU,DF,26-058,5.3,420,63,203,200,17,8,420,0,0,,0,,259,1082,470,0,3,0,0,0,299,0,Matches
Fermin López,es ESP,"MF,FW",21-358,4.6,238,4,20,118,103,27,238,15,7,46.7,7,46.7,139,618,295,11,3,6,8,6,182,33,Matches
Gerard Martín,es ESP,DF,23-123,3.6,289,9,72,135,86,4,289,8,1,12.5,7,87.5,126,440,227,4,8,1,4,2,180,32,Matches
Gavi,es ESP,MF,20-272,3.2,197,3,23,125,51,4,197,3,0,0.0,3,100.0,104,428,179,4,5,0,2,1,151,12,Matches
Ferrán Torres,es ESP,FW,25-064,3.7,112,7,17,29,66,19,112,7,3,42.9,4,57.1,58,230,51,2,0,2,2,2,78,29,Matches
Eric García,es ESP,"DF,MF",24-115,2.0,183,15,68,96,20,6,183,1,1,100.0,0,0.0,86,301,113,1,0,0,2,0,129,2,Matches
Marc-André ter Stegen,de GER,GK,33-004,1.0,61,45,61,0,0,0,61,0,0,,0,,45,234,171,0,0,0,0,0,31,0,Matches
Ansu Fati,es ESP,"FW,MF",22-185,0.5,30,0,2,14,14,0,30,2,1,50.0,1,50.0,21,106,31,1,2,0,1,3,25,4,Matches
Pau Victor Delgado,es ESP,FW,23-159,0.4,21,0,3,8,10,0,21,0,0,,0,,10,34,12,0,2,0,4,2,13,1,Matches
Sergi Dominguez,es ESP,"DF,FW",20-033,0.4,30,2,11,19,0,0,30,0,0,,0,,10,44,17,0,0,0,0,0,18,0,Matches
Héctor Fort,es ESP,DF,18-275,0.3,28,0,1,15,12,0,28,1,1,100.0,0,0.0,11,50,30,0,0,0,0,0,20,3,Matches
Pablo Torre,es ESP,"FW,MF",22-031,0.2,18,0,1,11,6,1,18,1,0,0.0,1,100.0,9,53,27,0,0,0,1,0,15,2,Matches
Andreas Christensen,dk DEN,DF,29-024,0.1,19,0,5,12,3,1,19,0,0,,0,,14,57,30,0,1,0,0,0,13,0,Matches
Andres Cuenca,es ESP,DF,17-327,0.1,10,0,2,7,1,0,10,0,0,,0,,7,42,15,0,1,0,0,0,9,0,Matches
