Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jules Koundé,fr FRA,DF,26-173,12.3,0,4,2,50.0,0.33,0.16,0.00,0.00,18.9,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
Raphinha,br BRA,"FW,MF",28-141,12.2,12,49,19,38.8,4.00,1.55,0.24,0.63,20.6,6,0,0,5.7,5.7,0.12,+6.3,+6.3,Matches
Pedri,es ESP,MF,22-160,11.2,0,5,1,20.0,0.45,0.09,0.00,0.00,21.9,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Lamine Yamal,es ESP,FW,17-295,10.8,5,44,19,43.2,4.07,1.76,0.11,0.26,19.5,0,0,0,3.8,3.8,0.09,+1.2,+1.2,Matches
Robert Lewandowski,pl POL,FW,36-256,10.5,11,28,15,53.6,2.67,1.43,0.29,0.53,14.1,0,3,3,9.9,7.6,0.27,+1.1,+0.4,Matches
Pau Cubarsí,es ESP,DF,18-102,9.7,0,3,1,33.3,0.31,0.10,0.00,0.00,9.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Iñigo Martínez,es ESP,DF,33-352,9.8,2,4,2,50.0,0.41,0.20,0.50,1.00,5.7,0,0,0,0.7,0.7,0.18,+1.3,+1.3,Matches
Alejandro Balde,es ESP,DF,21-198,8.9,0,2,0,0.0,0.22,0.00,0.00,,15.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Frenkie de Jong,nl NED,MF,27-357,7.6,0,4,0,0.0,0.53,0.00,0.00,,11.6,0,0,0,1.0,1.0,0.25,-1.0,-1.0,Matches
Marc Casado,es ESP,MF,21-232,7.0,0,5,1,20.0,0.71,0.14,0.00,0.00,14.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Wojciech Szczęsny,pl POL,GK,35-016,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Iñaki Peña,es ESP,GK,26-063,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dani Olmo,es ESP,MF,26-362,3.9,1,11,5,45.5,2.80,1.27,0.09,0.20,14.8,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches
Ronald Araújo,uy URU,DF,26-058,5.3,1,5,2,40.0,0.94,0.38,0.20,0.50,7.1,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches
Fermin López,es ESP,"MF,FW",21-358,4.6,1,16,8,50.0,3.47,1.73,0.06,0.13,15.8,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches
Gerard Martín,es ESP,DF,23-123,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gavi,es ESP,MF,20-272,3.2,0,3,1,33.3,0.95,0.32,0.00,0.00,12.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Ferrán Torres,es ESP,FW,25-064,3.7,3,13,6,46.2,3.47,1.60,0.23,0.50,12.6,1,0,0,2.8,2.8,0.22,+0.2,+0.2,Matches
Eric García,es ESP,"DF,MF",24-115,2.0,1,2,1,50.0,1.01,0.50,0.50,1.00,9.5,0,0,0,0.4,0.4,0.22,+0.6,+0.6,Matches
Marc-André ter Stegen,de GER,GK,33-004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ansu Fati,es ESP,"FW,MF",22-185,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pau Victor Delgado,es ESP,FW,23-159,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergi Dominguez,es ESP,"DF,FW",20-033,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Héctor Fort,es ESP,DF,18-275,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pablo Torre,es ESP,"FW,MF",22-031,0.2,0,1,0,0.0,4.29,0.00,0.00,,16.3,0,0,0,0.4,0.4,0.41,-0.4,-0.4,Matches
Andreas Christensen,dk DEN,DF,29-024,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Andres Cuenca,es ESP,DF,17-327,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
